,Target var,Target,Domain,Accuracy type,Type,Number of features
best_top3_HCP-D_reading_cod,reading,Reading,Cognition,cod,best,17
nec_HCP-D_reading_cod,reading,Reading,Cognition,cod,necessary,1
best_top1_HCP-D_picvocab_cod,picvocab,Picture vocabulary,Cognition,cod,best,23
best_top2_HCP-D_picvocab_cod,picvocab,Picture vocabulary,Cognition,cod,best,24
best_top3_HCP-D_picvocab_cod,picvocab,Picture vocabulary,Cognition,cod,best,22
nec_HCP-D_picvocab_cod,picvocab,Picture vocabulary,Cognition,cod,necessary,23
best_top1_HCP-D_procspeed_cod,procspeed,Processing speed,Cognition,cod,best,24
best_top2_HCP-D_procspeed_cod,procspeed,Processing speed,Cognition,cod,best,23
best_top3_HCP-D_procspeed_cod,procspeed,Processing speed,Cognition,cod,best,22
nec_HCP-D_procspeed_cod,procspeed,Processing speed,Cognition,cod,necessary,24
best_top1_HCP-D_listsort_cod,listsort,Working memory,Cognition,cod,best,1
best_top2_HCP-D_listsort_cod,listsort,Working memory,Cognition,cod,best,24
best_top3_HCP-D_listsort_cod,listsort,Working memory,Cognition,cod,best,20
nec_HCP-D_listsort_cod,listsort,Working memory,Cognition,cod,necessary,1
best_top1_HCP-D_anger_cod,anger,Anger affect,Mental health,cod,best,1
best_top2_HCP-D_anger_cod,anger,Anger affect,Mental health,cod,best,22
best_top3_HCP-D_anger_cod,anger,Anger affect,Mental health,cod,best,24
nec_HCP-D_anger_cod,anger,Anger affect,Mental health,cod,necessary,1
best_top1_HCP-D_fear_cod,fear,Fear affect,Mental health,cod,best,1
best_top2_HCP-D_fear_cod,fear,Fear affect,Mental health,cod,best,24
best_top3_HCP-D_fear_cod,fear,Fear affect,Mental health,cod,best,23
nec_HCP-D_fear_cod,fear,Fear affect,Mental health,cod,necessary,1
best_top1_HCP-D_sadness_cod,sadness,Sadness,Mental health,cod,best,1
best_top2_HCP-D_sadness_cod,sadness,Sadness,Mental health,cod,best,24
best_top3_HCP-D_sadness_cod,sadness,Sadness,Mental health,cod,best,23
nec_HCP-D_sadness_cod,sadness,Sadness,Mental health,cod,necessary,1
best_top1_HCP-D_posaffect_cod,posaffect,Positive affect,Mental health,cod,best,24
best_top2_HCP-D_posaffect_cod,posaffect,Positive affect,Mental health,cod,best,23
best_top3_HCP-D_posaffect_cod,posaffect,Positive affect,Mental health,cod,best,1
nec_HCP-D_posaffect_cod,posaffect,Positive affect,Mental health,cod,necessary,24
best_top1_HCP-D_emotsupp_cod,emotsupp,Emotional Support,Mental health,cod,best,1
best_top2_HCP-D_emotsupp_cod,emotsupp,Emotional Support,Mental health,cod,best,24
best_top3_HCP-D_emotsupp_cod,emotsupp,Emotional Support,Mental health,cod,best,21
